Project Name,Pos. barcode,Barcode,Part Name,Cutting Length,Cutting Width,Qty,Lenght,Width,Panel Thickness,Material Name,Face Material 1,Face Material 2,Core material,Edge 1,Edge 2,Edge 3,Edge 4,Grain
Mr. Vijay,01.26Y111T1F1B3_1017,26Y111T1F1B3_1017,Bed Bottom Strip,38.8,713.6,1,40,716,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1018,26Y111T1F1B3_1018,Bed Bottom Strip,38.8,1217.6,1,40,1220,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1019,26Y111T1F1B3_1019,Bed Bottom Strip,38.8,713.6,1,40,716,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1020,26Y111T1F1B3_1020,Bed Bottom Strip,38.8,1217.6,1,40,1220,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1022,26Y111T1F1B3_1022,Bed Top Strip,68.8,1217.6,1,70,1220,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1023,26Y111T1F1B3_1023,Bed Top Strip,68.8,713.6,1,70,716,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1024,26Y111T1F1B3_1024,Bed Top Strip,68.8,1217.6,1,70,1220,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1025,26Y111T1F1B3_1025,Bed Top Strip,68.8,713.6,1,70,716,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,01.26Y111T1F1B3_1026,26Y111T1F1B3_1026,Bed Top,1252.8,614.8,1,1254,616,17,CC_MDF17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,MDF,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,02.26Y111T1F1B3_1060,26Y111T1F1B3_1060,Bed Head Side,572.4,1496.4,1,576,1500,17,CP_HDR17_8023_OS_8134,CB_8134_FABRIC_WHT_MAT,CB_8023_MOCHA_BROWN_MATT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,02.26Y111T1F1B3_1062,26Y111T1F1B3_1062,Bed Mid Side,49.8,476.8,1,51,478,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,02.26Y111T1F1B3_1063,26Y111T1F1B3_1063,Bed Top Strip,32.8,713.6,1,34,716,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,02.26Y111T1F1B3_1064,26Y111T1F1B3_1064,Bed Top Strip,32.8,441.6,1,34,444,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,02.26Y111T1F1B3_1065,26Y111T1F1B3_1065,Bed Top Strip,32.8,713.6,1,34,716,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,02.26Y111T1F1B3_1066,26Y111T1F1B3_1066,Bed Top Strip,32.8,441.6,1,34,444,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,02.26Y111T1F1B3_1067,26Y111T1F1B3_1067,Bed Top,714.8,476.8,1,716,478,17,CC_MDF17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,MDF,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,02.26Y111T1F1B3_1073,26Y111T1F1B3_1073,Bed Top Strip,32.8,713.6,1,34,716,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,02.26Y111T1F1B3_1074,26Y111T1F1B3_1074,Bed Top Strip,32.8,441.6,1,34,444,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,02.26Y111T1F1B3_1075,26Y111T1F1B3_1075,Bed Top Strip,32.8,713.6,1,34,716,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,02.26Y111T1F1B3_1076,26Y111T1F1B3_1076,Bed Top Strip,32.8,441.6,1,34,444,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,02.26Y111T1F1B3_1077,26Y111T1F1B3_1077,Bed Top,714.8,476.8,1,716,478,17,CC_MDF17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,MDF,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr. Vijay,03.26Y111T1F1B3_1090,26Y111T1F1B3_1090,Back Panel,572.4,66.4,1,576,70,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,03.26Y111T1F1B3_1091,26Y111T1F1B3_1091,Back Panel,66.4,1356.4,1,70,1360,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,03.26Y111T1F1B3_1092,26Y111T1F1B3_1092,Back Panel,572.4,66.4,1,576,70,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,05.26Y111T1F1B3_1084,26Y111T1F1B3_1084,Back Panel,876.4,66.4,1,880,70,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,05.26Y111T1F1B3_1085,26Y111T1F1B3_1085,Back Panel,66.4,1144.4,1,70,1148,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,05.26Y111T1F1B3_1086,26Y111T1F1B3_1086,Back Panel,876.4,66.4,1,880,70,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,04.26Y111T1F1B3_1087,26Y111T1F1B3_1087,Back Panel,572.4,66.4,1,576,70,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,04.26Y111T1F1B3_1088,26Y111T1F1B3_1088,Back Panel,66.4,334.4,1,70,338,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,04.26Y111T1F1B3_1089,26Y111T1F1B3_1089,Back Panel,572.4,66.4,1,576,70,17,CC_HDH17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr. Vijay,01.26Y111T1F1B3_1027,26Y111T1F1B3_1027,Bed Top,1252.8,98.8,1,1254,100,17,CC_MDF17_8134_BS,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,MDF,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,0
Mr Vijay,01.26Y112T1F1A2_1001,26Y112T1F1A2_1001,Right Side,429.4,576.4,1,433,580,17,CP_HDR17_8023_BS,CB_8023_MOCHA_BROWN_MATT,CB_8023_MOCHA_BROWN_MATT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr Vijay,01.26Y112T1F1A2_1002,26Y112T1F1A2_1002,Left Side,429.4,576.4,1,433,580,17,CP_HDR17_8023_BS,CB_8023_MOCHA_BROWN_MATT,CB_8023_MOCHA_BROWN_MATT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr Vijay,01.26Y112T1F1A2_1003,26Y112T1F1A2_1003,Top Shelf,1196.4,596.4,1,1200,600,17,CP_HDR17_8023_BS,CB_8023_MOCHA_BROWN_MATT,CB_8023_MOCHA_BROWN_MATT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr Vijay,01.26Y112T1F1A2_1004,26Y112T1F1A2_1004,Back Panel,246.4,1142.4,1,250,1146,17,CP_HDR17_8023_BS,CB_8023_MOCHA_BROWN_MATT,CB_8023_MOCHA_BROWN_MATT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr Vijay,01.26Y112T1F1C2_1001,26Y112T1F1C2_1001,Right Side,429.4,576.4,1,433,580,17,CP_HDR17_8023_BS,CB_8023_MOCHA_BROWN_MATT,CB_8023_MOCHA_BROWN_MATT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr Vijay,01.26Y112T1F1C2_1002,26Y112T1F1C2_1002,Left Side,429.4,576.4,1,433,580,17,CP_HDR17_8023_BS,CB_8023_MOCHA_BROWN_MATT,CB_8023_MOCHA_BROWN_MATT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr Vijay,01.26Y112T1F1C2_1003,26Y112T1F1C2_1003,Top Shelf,1196.4,596.4,1,1200,600,17,CP_HDR17_8023_BS,CB_8023_MOCHA_BROWN_MATT,CB_8023_MOCHA_BROWN_MATT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
Mr Vijay,01.26Y112T1F1C2_1004,26Y112T1F1C2_1004,Back Panel,246.4,1142.4,1,250,1146,17,CP_HDR17_8023_BS,CB_8023_MOCHA_BROWN_MATT,CB_8023_MOCHA_BROWN_MATT,HDHMR,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,0
